stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
"de:08125:514:0:>Neue","","Amorbach (Neckarsulm), Reichertsberg","49.2141112","9.2503477","","0","de:08125:514_Parent","0",""
"de:08125:514:0:>NSU","","Amorbach (Neckarsulm), Reichertsberg","49.2143636","9.2503118","","0","de:08125:514_Parent","0",""
"de:08125:514:0:1","","Amorbach (Neckarsulm), Reichertsberg","49.2141993","9.2503477","","0","de:08125:514_Parent","0",""
"de:08125:514:0:2","","Amorbach (Neckarsulm), Reichertsberg","49.2141993","9.2503477","","0","de:08125:514_Parent","0",""
"de:08125:514_Parent","","Amorbach (Neckarsulm), Reichertsberg","49.2141993","9.2503477","","1","","",""
"de:08125:515:0:2","","Kochend., Friedrichspl./Ärzteh.","49.2294833","9.2167327","","","","0",""
"de:08125:516:0:>NSU","","Plattenwald, Klinikum","49.2119341","9.234196","","0","de:08125:516_Parent","0",""
"de:08125:516:0:>Plat","","Plattenwald, Klinikum","49.2118696","9.2342678","","0","de:08125:516_Parent","0",""
"de:08125:516:0:1","","Plattenwald, Klinikum","49.2118989","9.2342409","","0","de:08125:516_Parent","0",""
"de:08125:516:0:2","","Plattenwald, Klinikum","49.2118989","9.2342409","","0","de:08125:516_Parent","0",""
"de:08125:516_Parent","","Plattenwald, Klinikum","49.2118989","9.2342409","","1","","",""
"de:08125:517:0:>Hage","","Hagenbach Ohrnberger Straße","49.2338535","9.2226167","","","","0",""
"de:08125:517:0:>Koch","","Hagenbach Ohrnberger Straße","49.2339121","9.222437","","","","0",""
"de:08125:518:0:Nord","","Bad Friedrichshall, Rathaus","49.2283511","9.2103816","","","","0",""
"de:08125:518:0:Sued","","Bad Friedrichshall, Rathaus","49.2284097","9.210193","","","","0",""
"de:08125:519:1","","Bad Friedrichshall Hbf","49.2321113","9.1997905","","0","de:08125:519_Parent","0",""
"de:08125:519:1:2","","Bad Friedrichshall Hbf","49.2320996","9.1997815","","0","de:08125:519_Parent","0",""
"de:08125:519:1:20","","Bad Friedrichshall Hbf","49.2319119","9.2000241","","0","de:08125:519_Parent","0",""
"de:08125:519:2:1","","Bad Friedrichshall Hbf","49.231818","9.1998714","","0","de:08125:519_Parent","0",""
"de:08125:519:3:3","","Bad Friedrichshall Hbf","49.2317417","9.1998175","","0","de:08125:519_Parent","0",""
"de:08125:519:3:4","","Bad Friedrichshall Hbf","49.2316655","9.1997007","","0","de:08125:519_Parent","0",""
"de:08125:519:4:5","","Bad Friedrichshall Hbf","49.2316244","9.1996737","","0","de:08125:519_Parent","0",""
"de:08125:519:5:10","","Bad Friedrichshall Hbf","49.2314543","9.1994671","","0","de:08125:519_Parent","0",""
"de:08125:519:5:11","","Bad Friedrichshall Hbf","49.2313781","9.1993324","","0","de:08125:519_Parent","0",""
"de:08125:519_Parent","","Bad Friedrichshall Hbf","49.2319529","9.1999792","","1","","",""
"de:08125:520:0:1","","Neckarsulm, AUDI Werk A13/A15","49.2024382","9.2220058","","","","0",""
"de:08125:521:0:>Neue","","Amorbach (Neckarsulm), Landesstraße","49.2085538","9.2496111","","","","0",""
"de:08125:521:0:>NSU","","Amorbach (Neckarsulm), Landesstraße","49.2086712","9.249638","","","","0",""
"de:08125:522:0:1","","Jagstfeld, F.v. Alberti-Gym.","49.237625","9.2004193","","","","0",""
"de:08125:522:0:ohne","","Jagstfeld, F.v. Alberti-Gym.","49.2375136","9.2001768","","","","0",""
"de:08125:523:0:>Amor","","Plattenwald, Europaplatz","49.2131899","9.2440056","","","","0",""
"de:08125:523:0:>West","","Plattenwald, Europaplatz","49.2132075","9.2438619","","","","0",""
"de:08125:523:0:2","","Plattenwald, Europaplatz","49.2132017","9.2440146","","","","0",""
"de:08125:524:0:>Ost","","Plattenwald, Ehrlichstraße","49.2127205","9.2398015","","","","0",""
"de:08125:524:0:>West","","Plattenwald, Ehrlichstraße","49.2128144","9.2392086","","","","0",""
"de:08125:524:0:2","","Plattenwald, Ehrlichstraße","49.2128144","9.2392625","","","","0",""
"de:08125:525:0:0","","Neckarsulm, Heilbronner Str Süd","49.180593","9.2237037","","","","0",""
"de:08125:525:0:1","","Neckarsulm, Heilbronner Str Süd","49.1803112","9.2239372","","","","0",""
"de:08125:531:0:>Gemm","","Neckarwestheim GKN Verw.","49.0387027","9.1747365","","","","0",""
"de:08125:531:0:>NWh","","Neckarwestheim GKN Verw.","49.0386792","9.1747634","","","","0",""
"de:08125:532:1:1","","Neckarwestheim Rathaus","49.0462753","9.1907624","","","","0",""
"de:08125:532:2:2","","Neckarwestheim Rathaus","49.0462341","9.1906457","","","","0",""
"de:08125:534:0:1","","Neckarwesth. Weststr/Kinderkr.","49.0495371","9.1854534","","","","0",""
"de:08125:535:0:1","","Ilsfeld Landturm","49.0687624","9.269392","","","","0",""
"de:08125:535:0:2","","Ilsfeld Landturm","49.0687859","9.269374","","","","0",""
"de:08125:536:0:1","","Talheim Hochstetter","49.0828734","9.1910948","","","","0",""
"de:08125:536:0:2","","Talheim Hochstetter","49.0829028","9.1909421","","","","0",""
"de:08125:537:0:1","","Talheim Horkheimer Straße","49.0840972","9.1897473","","","","0",""
